"Drug","Groups","Indication"
"Amitriptyline","approved","For the treatment of depression, chronic pain, irritable bowel syndrome, sleep disorders, diabetic neuropathy, agitation and insomnia, and migraine prophylaxis. "
"Floxuridine","approved","For palliative management of gastrointestinal adenocarcinoma metastatic to the liver, when given by continuous regional intra-arterial infusion in carefully selected patients who are considered incurable by surgery or other means. Also for the palliative management of liver cancer (usually administered by hepatic intra-arterial infusion)."
"Tolcapone","approved/withdrawn","Used as an adjunct to levodopa/carbidopa therapy for the symptomatic treatment of Parkinson's Disease. This drug is generally reserved for patients with parkinsonian syndrome receiving levodopa/carbidopa who are experiencing symptom fluctuations and are not responding adequately to or are not candidates for other adjunctive therapies."
"Fluorometholone","approved","For the ophthalmic treatment of corticosteroid-responsive inflammation of the palpebral and bulbar conjunctiva, cornea and anterior segment of the globe."
"Nitroprusside","approved","For immediate reduction of blood pressure of patients in hypertensive crises, reduce bleeding during surgery, and for the treatment of acute congestive heart failure"
"Hydromorphone","approved/illicit","For the relief of moderate to severe pain such as that due to surgery, cancer, trauma/injury, or burns."
"Indomethacin","approved/investigational","For moderate to severe rheumatoid arthritis including acute flares of chronic disease, ankylosing spondylitis, osteoarthritis, acute painful shoulder (bursitis and/or tendinitis) and acute gouty arthritis."
"Ethambutol","approved","For use, as an adjunct, in the treatment of pulmonary tuberculosis."
"Metformin","approved","For use as an adjunct to diet and exercise in adult patients (18 years and older) with NIDDM. May also be used for the management of metabolic and reproductive abnormalities associated with polycystic ovary syndrome (PCOS). Jentadueto is for the treatment of patients when both linagliptin and metformin is appropriate."
"Ipratropium bromide","approved","For maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease, including chronic bronchitis and emphysema."
"Methadone","approved","For the treatment of dry cough, drug withdrawal syndrome, opioid type drug dependence, and pain."
"Olanzapine","approved/investigational","For the acute and maintenance treatment of schizophrenia and related psychotic disorders, as well as acute treatment of manic or mixed episodes of bipolar 1 disorder. Intramuscular olanzapine is indicated for the rapid control of agitated patients."
"Atenolol","approved","For the management of hypertention and long-term management of patients with angina pectoris"
"Nitrofural","approved","For the treatement of bacterial skin infections including pyodermas, infected dermatoses and infections of cuts, wounds, burns and ulcers due to susceptible organisms."
"Pimecrolimus","approved/investigational","For treatment of mild to moderate atopic dermatitis."
"Omeprazole","approved/investigational","Omeprazole is indicated for the treatment of duodenal ulcers, benign gastric ulcers, gastroesophageal reflux disease (GERD), heartburn and other symptoms associated with GERD, erosive esophagitis, and long-term treatment of pathological hypersecretory conditions like Zollinger-Ellison syndrome, multiple endocrine adenomas, and systemic mastocytosis. "
"Pyrazinamide","approved","For the initial treatment of active tuberculosis in adults and children when combined with other antituberculous agents."
"Metixene","approved","Used for the symptomatic treatment of parkinsonism."
"Cetirizine","approved","For the relief of symptoms associated with seasonal allergic rhinitis, perennial allergic rhinitis and the treatment of the uncomplicated skin manifestations of chronic idiopathic urticaria"
"Terfenadine","withdrawn","For the treatment of allergic rhinitis, hay fever, and allergic skin disorders."
"Diltiazem","approved","For the treatment of Hypertension"
"Protriptyline","approved","For the treatment of depression. "
"Aminohippurate","approved","Used to measure effective renal plasma flow (ERPF) and to determine the functional capacity of the tubular excretory mechanism."
"Alfuzosin","approved/investigational","For the reduction of urinary obstruction and relief of associated manifestations (eg. sensation of incomplete bladder emptying or straining, urgency, interrupted or weak stream) in patients with symptomatic beningn prostatic hyperplasia."
"Trimethadione","approved","Used in the control of absence (petit mal) seizures that are refractory to treatment with other medications."
"Nitisinone","approved/investigational","Used as an adjunct to dietary restriction of tyrosine and phenylalanine in the treatment of hereditary tyrosinemia type 1."
"Clobazam","approved/illicit","For treatment and management of epilepsy and seizures associated with Lennox-Gastaut syndrome, a difficult-to-treat form of childhood epilepsy. "
"Minoxidil","approved","For the treatment of severe hypertension and in the topical treatment (regrowth) of androgenic alopecia in males and females and stabilisation of hair loss in patients with androgenic alopecia."
"Megestrol acetate","approved","For the treatment of anorexia, cachexia, or an unexplained, significant weight loss in patients with a diagnosis of acquired immunodeficiency syndrome (AIDS). Also used for the palliative management of recurrent, inoperable, or metastatic breast cancer, endometrial cancer, and prostate cancer in Canada and some other countries."
"Tioguanine","approved","For remission induction and remission consolidation treatment of acute nonlymphocytic leukemias."
"Methylergometrine","approved","For the prevention and control of excessive bleeding following vaginal childbirth"
"Buclizine","approved","For prevention and treatment of nausea, vomiting, and dizziness associated with motion sickness and vertigo (dizziness caused by other medical problems)."
"Aztreonam","approved","For the treatment of the following infections caused by susceptible gram-negative microorganisms: urinary tract infections, lower respiratory tract infections, septicemia, skin and skin-structure infections, intra-abdominal infections, and gynecologic infections."
"Chlorzoxazone","approved","For the relief of discomfort associated with acute painful musculoskeletal conditions."
"Aminoglutethimide","approved","For the suppression of adrenal function in selected patients with Cushing's syndrome, malignant neoplasm of the female breast, and carcinoma in situ of the breast."
"Mefloquine","approved","For the treatment of mild to moderate acute malaria caused by Mefloquineuine-susceptible strains of <i>Plasmodium falciparum</i> (both chloroquine-susceptible and resistant strains) or by <i>Plasmodium vivax</i>. Also for the prophylaxis of <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections, including prophylaxis of chloroquine-resistant strains of <i>Plasmodium falciparum</i>."
"Sulfadiazine","approved","For the treatment of rheumatic fever and meningococcal meningitis"
"Tetrahydrobiopterin","approved/investigational","For the treatment of tetrahydrobiopterin (BH4) deficiency."
"Vinorelbine","approved/investigational","For the treatment of non-small-cell lung carcinoma."
"Anidulafungin","approved/investigational","For use in the treatment of the following fungal infections: Candidemia and other forms of <i>Candida</i> infections (intra-abdominal abscess, and peritonitis), Aspergillus infections, and esophageal candidiasis. Also considered an alternative treatment for oropharyngeal canaidiasis."
"Clozapine","approved","For use in patients with treatment-resistant schizophrenia."
"Sucralfate","approved","For the short-term treatment (up to 8 weeks) of active duodenal ulcer, as well as maintenance therapy for duodenal ulcer patients at reduced dosage (1 gram twice a day) after healing of acute ulcers. Also used for the short-term treatment of gastric ulcer."
"Grepafloxacin","withdrawn","For treatment of adults with mild to moderate infections caused by susceptible strains of <i>Haemophilus influenzae</i>, <i>Streptococcus pneumoniae</i>, or <i>Moraxella catarrhalis</i>."
"Doxylamine","approved","Used alone as a short-term sleep aid, in combination with other drugs as a night-time cold and allergy relief drug. Also used in combination with Vitamin B6 (pyridoxine) to prevent morning sickness in pregnant women."
"Levonorgestrel","approved/investigational","For the treatment of menopausal and postmenopausal disorders and alone or in combination with other hormones as an oral contraceptive."
"Norepinephrine","approved","Mainly used to treat patients in vasodilatory shock states such as septic shock and neurogenic shock and has shown a survival benefit over dopamine. Also used as a vasopressor medication for patients with critical hypotension."
"Cidofovir","approved","For the treatment of CMV retinitis in patients with acquired immunodeficiency syndrome (AIDS)"
"Mirtazapine","approved","For the treatment of major depressive disorder."
"Meprobamate","approved/illicit","For the management of anxiety disorders or for the short-term relief of the symptoms of anxiety."
"Thiethylperazine","withdrawn","For the treatment or relief of nausea and vomiting."
"Timolol","approved","In its oral form it is used to treat high blood pressure and prevent heart attacks, and occasionally to prevent migraine headaches. In its opthalmic form it is used to treat open-angle and occasionally secondary glaucoma."
"Treprostinil","approved/investigational","For use as a continuous subcutaneous infusion or intravenous infusion (for those not able to tolerate a subcutaneous infusion) for the treatment of pulmonary arterial hypertension in patients with NYHA Class II-IV symptoms to diminish symptoms associated with exercise."
"Trihexyphenidyl","approved","Indicated for the treatment of parkinson's disease and extrapyramidal reactions caused by drugs."
"Palonosetron","approved/investigational","For the prevention of acute and delayed nausea and vomiting associated with initial and repeat courses of moderately emetogenic cancer chemotherapy, as well as prevention of acute nausea and vomiting associated with highly emetogenic cancer chemotherapy. Also used for the prevention of postoperative nausea and vomiting for up to 24 hours post operation."
"Dydrogesterone","approved/withdrawn","Used to treat irregular duration of cycles and irregular occurrence and duration of periods caused by progesterone deficiency. Also used to prevent natural abortion in patients who have a history of habitual abortions."
"Mexiletine","approved","For the treatment of ventricular tachycardia and symptomatic premature ventricular beats, and prevention of ventricular fibrillation."
"Dexrazoxane","approved/withdrawn","For reducing the incidence and severity of cardiomyopathy associated with doxorubicin administration in women with metastatic breast cancer who have received a cumulative doxorubicin hydrochloride dose of 300 mg/m^2 and would benefit from continued doxorubicin therapy. Also approved for the treatment of extravasation from intravenous anthracyclines."
"Amlodipine","approved","For the treatment of hypertension and chronic stable angina."
"Tacrine","withdrawn","For the palliative treatment of mild to moderate dementia of the Alzheimer's type."
"Oxyphencyclimine","approved","For the treatment of peptic ulcer disease and the relief of smooth muscle spasms in gastrointestinal disorders."
"Triamterene","approved","For the treatment of edema associated with congestive heart failure, cirrhosis of the liver, and the nephrotic syndrome; also in steroid-induced edema, idiopathic edema, and edema due to secondary hyperaldosteronism."
"Valrubicin","approved","For the treatment of cancer of the bladder."
"Alseroxylon","withdrawn","For the treatment of hypertension and as an adjunct in the management of angina pectoris."
"Procyclidine","approved","For the treatment of all forms of Parkinson's Disease, as well as control of extrapyramidal reactions induced by antipsychotic agents."
"Phenylephrine","approved","Phenylephrine is mainly used to treat nasal congestion, but may also be useful in treating hypotension and shock, hypotension during spinal anaesthesia, prolongation of spinal anaesthesia, paroxysmal supraventricular tachycardia, symptomatic relief of external or internal hemorrhoids, and to increase blood pressure as an aid in the diagnosis of heart murmurs. "
"Carbimazole","approved","For the treatment of hyperthyroidism and thyrotoxicosis. It is also used to prepare patients for thyroidectomy."
"Digoxin","approved","For the treatment and management of congestive cardiac insufficiency, arrhythmias and heart failure."
"Sulpiride","approved","Sulpiride is indicated for the treatment of schizophrenia."
"Ethopropazine","approved","For use in the treatment of Parkinson's disease and also used to control severe reactions to certain medicines such as reserpine."
"Nimodipine","approved","For use as an adjunct to improve neurologic outcome following subarachnoid hemorrhage (SAH) from ruptured intracranial berry aneurysms by reducing the incidence and severity of ischemic deficits."
"Beclomethasone","approved/investigational","Used in the maintenance treatment of asthma as prophylactic therapy in patients 5 years of age and older, and in treating symptoms for allergic rhinitis (seasonal or perennial) in patients 12 years of age and older. Also being investigated for oral treatment in mild-to-moderate Crohn's disease of ileal or ileal-right colonic localisation and for \"topical\" use mild-to-moderate graft versus host disease."
"Carisoprodol","approved","For the relief of discomfort associated with acute, painful, musculoskeletal conditions."
"Progesterone","approved","For progesterone supplementation or replacement as part of an Assisted Reproductive Technology (ART) treatment for infertile women with progesterone deficiency and for the treatment of secondary amenorrhea. Also used for the reduction of the incidence of endometrial hyperplasia and the attendant risk of endometrial carcinoma in postmenopausal women receiving estrogen replacement therapy, as well as treatment of abnormal uterine bleeding due to hormonal imbalance in the absence of organic pathology such as fibroids or uterine cancer."
"Phenylpropanolamine","approved/withdrawn","For the treatment of nasal congestion, control of urinary incontinence, priapism and obesity."
"Sorafenib","approved/investigational","Sorafenib is indicated for the treatment of unresectable hepatocellular carcinoma and advanced renal cell carcinoma.  "
"Zoledronate","approved","For the treatment of hypercalcemia of malignancy. Also for the treatment of patients with multiple myeloma and patients with documented bone metastases from solid tumors, in conjunction with standard antineoplastic therapy. In May of 2007, the drug was approved for treatment of Paget’s Disease."
"Griseofulvin","approved","For the treatment of ringworm infections of the skin, hair, and nails, namely: tinea corporis, tinea pedis, tinea cruris, tinea barbae, cradle cap or other conditions caused by <i>Trichophyton</i> or <i>Microsporum</i> fungi."
"Nisoldipine","approved","For the treatment of hypertension. It may be used alone or in combination with other antihypertensive agents."
"Eszopiclone","approved","For the treatment of insomnia"
"Ceruletide","approved","Caerulein stimulates gastric, biliary, and pancreatic secretion; and certain smooth muscle. As such, it is used in paralytic ileus and as diagnostic aid in pancreatic malfunction."
"Alprazolam","approved/illicit/investigational","For the management of anxiety disorder or the short-term relief of symptoms of anxiety and for the treatment of panic disorder, with or without agoraphobia."
"Dexbrompheniramine","approved","For treatment and relief of symptoms of allergies, hay fever, and colds"
"Gentian Violet","approved","For the treatment of bacterial and fungal infections inside the mouth (thrush) and skin, also for the prevention of transmission of Chagas' disease (as a blood additive)."
"Ardeparin","approved/withdrawn","For prevention of deep vein thrombosis, which may result in pulmonary embolism, following knee surgery."
"Loxapine","approved","For the management of the manifestations of psychotic disorders such as schizophrenia"
"Remoxipride","approved/withdrawn","Remoxipride is an atypical antipsychotic once used for the treatment of schizophrenia."
"Mupirocin","approved/investigational","For the treatment of <i>Staphylococci</i> nasal carriers."
"Carbachol","approved","Primarily used in the treatment of glaucoma, but is also used during ophthalmic surgery."
"Rosiglitazone","approved/investigational","Rosiglitazone is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. "
"Pramipexole","approved/investigational","For the treatment of signs and symptoms of idiopathic Parkinson's disease"
"Acetohexamide","withdrawn","Used in the management of diabetes mellitus type 2 (adult-onset)."
"Ampicillin","approved","For treatment of infection (Respiratory, GI, UTI and meningitis) due to E. coli, P. mirabilis, enterococci, Shigella, S. typhosa and other Salmonella, nonpenicillinase-producing N. gononhoeae, H. influenzae, staphylococci, streptococci including streptoc"
"Metocurine Iodide","withdrawn","For use as an anesthesia adjunct to induce skeletal muscle relaxation and to reduce the intensity of muscle contractions in convulsive therapy."
"Penicillin V","approved","For the treatment of mild to moderately severe infections (e.g. dental infection, infections in the heart, middle ear infections, rheumatic fever, scarlet fever, skin infections, upper and lower respiratory tract infections) due to microorganisms"
"Secobarbital","approved","For the Short-term treatment of intractable insomnia for patients habituated to barbiturates"
"Miglustat","approved","For the treatment of adult patients with mild to moderate type 1 (nonneuropathic) Gaucher's disease for whom enzyme replacement therapy is not a therapeutic option (e.g. due to constraints such as allergy, hypersensitivity, or poor venous access). Now approved in some countries for the treatment of progressive neurological symptoms in adult and pediatric patients with Niemann-Pick disease type C (NP-C). "
"Promazine","approved","Used as an adjunct for short term treatment of moderate and severe psychomotor agitation. Also used to treat agitation or restlessness in the elderly."
"Spironolactone","approved","Used primarily to treat low-renin hypertension, hypokalemia, and Conn's syndrome."
"Methylphenidate","approved/investigational","For use as an integral part of a total treatment program which typically includes other remedial measures (psychological, educational, social) for a stabilizing effect in children with a behavioral syndrome characterized by the following group of developmentally inappropriate symptoms: moderate-to-severe distractibility, short attention span, hyperactivity, emotional lability, and impulsivity."
"Methocarbamol","approved","For use as an adjunct to rest, physical therapy, and other measures for the relief of discomforts associated with acute, painful musculoskeletal conditions."
"Hyoscyamine","approved","For treatment of bladder spasms, peptic ulcer disease, diverticulitis, colic, irritable bowel syndrome, cystitis, and pancreatitis. Also used to treat certain heart conditions, to control the symptoms of Parkinson's disease and rhinitis."
"Zolpidem","approved","For the short-term treatment of insomnia."
"Famciclovir","approved","For the treatment of acute herpes zoster (shingles). Also for the treatment or suppression of recurrent genital herpes in immunocompetent patients and treatment of recurrent mucocutaneous herpes simplex infections in HIV infected patients."
"Triprolidine","approved","For the symptomatic relief of seasonal or perennial allergic rhinitis or nonallergic rhinitis; allergic conjunctivitis; and mild, uncomplicated allergic skin manifestations of urticaria and angioedema. Also used in combination with other agents for the symptomatic relief of symptoms associated with the common cold."
"Streptozocin","approved","For the treatment of malignant neoplasms of pancreas (metastatic islet cell carcinoma)."
"Carboprost Tromethamine","approved","For aborting pregnancy between the 13th and 20th weeks of gestation as calculated from the first day of the last normal menstrual period and in the following conditions related to second trimester abortion: 1. Failure of expulsion of the fetus during the course of treatment by another method; 2. Premature rupture of membranes in intrauterine methods with loss of drug and insufficient or absent uterine activity; 3. Requirement of a repeat intrauterine instillation of drug for expulsion of the fetus; 4. Inadvertent or spontaneous rupture of membranes in the presence of a previable fetus and absence of adequate activity for expulsion. Also for the treatment of postpartum hemorrhage due to uterine atony which has not responded to conventional methods of management."
"Cefpiramide","approved","For treatment of severe infections caused by susceptible bacteria such as P. aeruginosa."
"Lindane","approved/withdrawn","For the treatment of patients infested with Sarcoptes scabiei or pediculosis capitis who have either failed to respond to adequate doses, or are intolerant of other approved therapies."
"Trifluridine","approved","Ophthalmic solution for the treatment of primay keratoconjunctivitis and recurrent epithelial keratitis due to herpes simplex virus, types 1 and 2."
"Prochlorperazine","approved","For the symptomatic management of psychotic disorders, short term management of nonpsychotic anxiety in patients with generalized anxiety disorder, and for the control of severe nausea and vomiting of various causes."
"Cyproheptadine","approved","For treatment of perennial and seasonal allergic rhinitis, vasomotor rhinitis, allergic conjunctivitis due to inhalant allergens and foods, mild uncomplicated allergic skin manifestations of urticaria and angioedema, amelioration of allergic reactions to blood or plasma, cold urticaria, dermatographism, and as therapy for anaphylactic reactions adjunctive to epinephrine."
"Nitric Oxide","approved","For the treatment of term and near-term (&gt;34 weeks) neonates with hypoxic respiratory failure"
"Bendroflumethiazide","approved","For the treatment of high blood pressure and management of edema related to heart failure."
"Allopurinol","approved","For the treatment of hyperuricemia associated with primary or secondary gout. Also indicated for the treatment of primary or secondary uric acid nephropathy, with or without the symptoms of gout, as well as chemotherapy-induced hyperuricemia and recurrent renal calculi."
"Ceftazidime","approved","For the treatment of patients with infections caused by susceptible strains of organisms in the following diseases: lower respiratory tract infections,skin and skin structure infections, urinary tract infections, bacterial septicemia, bone and joint infections, gynecologic infections, intra abdominal infections (including peritonitis), and central nervous system infections (including meningitis)."
"Cerivastatin","withdrawn","Used as an adjunct to diet for the reduction of elevated total and LDL cholesterol levels in patients with primary hypercholesterolemia and mixed dyslipidemia (Fredrickson Types IIa and IIb) when the response to dietary restriction of saturated fat and cholesterol and other non-pharmacological measures alone has been inadequate."
"Trimethoprim","approved","For the treatment of urinary tract infections, uncomplicated pyelonephritis (with sulfamethoxazole) and mild acute prostatitis. May be used as pericoital (with sulfamethoxazole) or continuous prophylaxis in females with recurrent cystitis. May be used as an alternative to treat asymptomatic bacteriuria during pregnancy (only before the last 6 weeks of pregnancy). Other uses include: alternative agent in respiratory tract infections (otitis, sinusitus, bronchitis and pneumonia), treatment of Pneumocystis jirovecii pneumonia (acute or prophylaxis), Nocardia infections, and traveller's diarrhea."
"Gemcitabine","approved","Gemcitabine is indicated for the treatment of advanced ovarian cancer that has relapsed at least 6 months after completion of platinum-based therapy; metastatic ovarian cancer; inoperable, locally advanced (Stage IIIA or IIIB), or metastatic (Stage IV) non-small cell lung cancer; and locally advanced (nonresectable Stage II or Stage III) or metastatic (Stage IV) adenocarcinoma of the pancreas. "
"Betamethasone","approved","<b>Topical use (cream, lotion and ointment):</b> for relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses<br/><b>Topical use (foam):</b> relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses of the scalp<br/><b>Systemic use:</b> for the treatment of edocrine disorders, rheumatic disorders, collagen diseases, dermatological diseases, allergic states, ophthalmic diseases, respiratory diseases, hematologic disorders, neoplastic diseases, edematous states, gastrointestinal diseases, tuberculous meningitis and trichinosis."
"Teniposide","approved","Teniposide is used for the treatment of refractory acute lymphoblastic leukaemia"
"Epirubicin","approved","For use as a component of adjuvant therapy in patients with evidence of axillary node tumor involvement following resection of primary breast cancer."
"Chloramphenicol","approved","Used in treatment of cholera, as it destroys the vibrios and decreases the diarrhea. It is effective against tetracycline-resistant vibrios. It is also used in eye drops or ointment to treat bacterial conjunctivitis."
"Loracarbef","withdrawn","Used to treat upper respiratory tract bacterial infections, chronic bronchitis, pneumonia, sinusitis, pharyntitis and tonsillitis, skin absceses, urinary tract infections and pyelonephritis caused by <i>E. coli</i>, <i>S. pyogenes</i>, <i>S. aureus</i>, <i>S. saprphyticus</i>, <i>S. penumoniae</i>, <i>H. influenzae</i> and <i>M. catarrhalis</i>."
"Lansoprazole","approved/investigational","For the treatment of acid-reflux disorders (GERD), peptic ulcer disease, H. pylori eradication, and prevention of gastroinetestinal bleeds with NSAID use."
"Dipivefrin","approved","Dipivefrin is a prodrug which is used as initial therapy for the control of intraocular pressure in chronic open-angle glaucoma."
"Droperidol","approved","Droperidol is ssed to produce tranquilization and to reduce the incidence of nausea and vomiting in surgical and diagnostic procedures."
"Levothyroxine","approved","For use alone or in combination with antithyroid agents to treat hypothyroidism, goiter, chronic lymphocytic thyroiditis, myxedema coma, and stupor."
"Framycetin","approved","For the treatment of bacterial blepharitis, bacterial bonjunctivitis, corneal injuries, corneal ulcers and meibomianitis. For the prophylaxis of ocular infections following foreign body removal"
"Clomocycline","approved","For the treatment and management of Brucellosis, mycoplasma infection, acne vulgaris, chlamydial infection;Chronic bronchitis"
"Pethidine","approved","Used to control moderate to severe pain."
"Loratadine","approved","A self-medication that is used alone or in combination with pseudoephedrine sulfate for the symptomatic relief of seasonal allergic rhinitis. Also used for the symptomatic relief of pruritus, erythema, and urticaria associated with chronic idiopathic urticaria in patients (not for children under 6 unless directed by a clincian)."
"Cefalotin","approved","Used to prevent infection during surgery and to treat many kinds of infections of the blood, bone or joints, respiratory tract, skin, and urinary tract."
"Prazosin","approved","For treatment of hypertension, symptomatic benign prostatic hyperplasia, and severe congestive heart failure. May also be used alone or in combination with &beta;-blockers in the preoperative management of signs and symptoms of pheochromocytoma. "
"Imipramine","approved","For the relief of symptoms of depression and as temporary adjunctive therapy in reducing enuresis in children aged 6 years and older. May also be used to manage panic disorders, with or without agoraphobia, as a second line agent in ADHD, management of eating disorders, for short-term management of acute depressive episodes in bipolar disorder and schizophrenia, and for symptomatic treatment of postherpetic neuralgia. "
"Acitretin","approved","For the treatment of severe psoriasis in adults."
"Nabumetone","approved","For acute and chronic treatment of signs and symptoms of osteoarthritis and rheumatoid arthritis."
"Methylscopolamine bromide","approved","Used as adjunctive therapy for the treatment of peptic ulcer. Also used to treat nausea and vomiting due to motion sickness."
"Metharbital","withdrawn","Metharbital is used for the treatment of epilepsy."
"Sodium Tetradecyl Sulfate","approved","For the treatment of small uncomplicated varicose veins of the lower extremities that show simple dilation with competent valves."
"Ketorolac","approved","For the short-term (~5 days) management of moderately severe acute pain that requires analgesia at the opioid level, usually in a postoperative setting."
"Picrotoxin","experimental","Used internally for relieving respiratory distress. Also for use as an antidote in poisoning by CNS depressants, especially barbiturates."
"Enoxacin","approved","For the treatment of adults (&ge;18 years of age) with the following infections caused by susceptible strains of the designated microorganisms: (1) uncomplicated urethral or cervical gonorrhea due to <i>Neisseria gonorrhoeae</i>, (2) uncomplicated urinary tract infections (cystitis) due to <i>Escherichia coli</i>, <i>Staphylococcus epidermidis</i>, or <i>Staphylococcus saprophyticus</i>, and (3) complicated urinary tract infections due to <i>Escherichia coli</i>, <i>Klebsiella pneumoniae</i>, <i>Proteus mirabilis</i>, <i>Pseudomonas aeruginosa</i>, <i>Staphylococcus epidermidis</i>, or <i>Enterobacter cloacae</i>."
"Quinine","approved","For the treatment of malaria and leg cramps"
"Tenoxicam","approved","For the treatment of rheumatoid arthritis, osteoarthritis, backache, and pain."
"Dronabinol","approved/illicit","For the treatment of anorexia associated with weight loss in patients with AIDS, and nausea and vomiting associated with cancer chemotherapy in patients who have failed to respond adequately to conventional antiemetic treatments"
"Montelukast","approved","For the treatment of asthma"
"Fluoxetine","approved","Labeled indication include: major depressive disorder (MDD), moderate to severe bulimia nervosa, obsessive-compulsive disorder (OCD), premenstrual dysphoric disorder (PMDD), panic disorder with or without agoraphobia, and combination treatment with olanzapine for treatment-resistant or bipolar I depression. Unlabeled indications include: selective mutism, mild dementia-associated agitation in nonpsychotic patients, post-traumatic stress disorder (PTSD), social anxiety disorder, chronic neuropathic pain, fibromyalgia, and Raynaud's phenomenon. "
"Hexylcaine","approved/withdrawn","Used as a local anesthetic for surface application, infiltration or nerve block"
"Methohexital","approved","Methohexital is indicated for use as an intravenous anaesthetic. It has also been commonly used to induce deep sedation."
"Chlordiazepoxide","approved/illicit","For the management of anxiety disorders or for the short-term relief of symptoms of anxiety, withdrawal symptoms of acute alcoholism, and preoperative apprehension and anxiety."
"Duloxetine","approved","For the acute and maintenance treatment of major depressive disorder (MDD), as well as acute management of generalized anxiety disorder. Also used for the management of neuropathic pain associated with diabetic peripheral neuropathy, and fibromyalgia. Has been used in the management of moderate to severe stress urinary incontinence (SUI) in women."
"Chlorpromazine","approved","For the treatment of schizophrenia, control nausea and vomiting, For relief of restlessness and apprehension before surgery, adjunct in the treatment of tetanus, control the manifestations of the manic type of manic-depressive illness."
"Rimantadine","approved","For the prophylaxis and treatment of illness caused by various strains of influenza A virus in adults."
"Amikacin","approved","For short-term treatment of serious infections due to susceptible strains of Gram-negative bacteria, including Pseudomonas species, Escherichia coli, species of indole-positive and indole-negative Proteus, Providencia species, Klebsiella-Enterobacter-Serratia species, and Acinetobacter (Mima-Herellea) species. Amikacin may also be used to treat Mycobacterium avium and Mycobacterium tuberculosis infections."
"Lenalidomide","approved","Lenalidomide is indicated for the treatment of multiple myeloma in combination with dexamethasone. It is also indicated for the treatment of patients with transfusion-dependent anemia due to low- or intermediate- risk myelodysplastic syndromes (MDS) associated with a deletion 5q cytogenetic abnormality with or without additional cytogenetic abnormalities."
"Raloxifene","approved/investigational","For the prevention and treatment of osteoporosis in post-menopausal women, as well as prevention and treatment of corticosteroid-induced bone loss. Also for the reduction in the incidence of invasive breast cancer in postmenopausal women with osteoporosis or have a high risk for developing breast cancer."
"Celecoxib","approved/investigational","For relief and management of osteoarthritis (OA), rheumatoid arthritis (RA), juvenile rheumatoid arthritis (JRA), ankylosing spondylitis, acute pain, primary dysmenorrhea and oral adjunct to usual care for patients with familial adenomatous polyposis"
"Gallamine Triethiodide","approved","For use as adjuncts to anesthesia to induce skeletal muscle relaxation and to facilitate the management of patients undergoing mechanical ventilation"
"Brimonidine","approved","The ophthalmic solution is indicated for patients with open-angle glaucoma or ocular hypertension to lower intraocular pressure. The topical gel is indicated for the treatment of persistent (nontransient) facial erythema of rosacea in adults 18 years or older. "
"Dicloxacillin","approved","Used to treat infections caused by penicillinase-producing staphylococci which have demonstrated susceptibility to the drug."
"Nabilone","approved/investigational","Used for the control of nausea and vomiting, caused by chemotherapeutic agents used in the treatment of cancer, in patients who have failed to respond adequately to conventional antiemetic treatments."
"Pefloxacin","approved","For the treatment of uncomplicated gonococcal urethritis in males and for gram-negative-bacterial infections in the gastrointestinal system and the genitourinary tract."
"Sotalol","approved","For the maintenance of normal sinus rhythm [delay in time to recurrence of atrial fibrillation/atrial flutter (AFIB/AFL)] in patients with symptomatic AFIB/AFL who are currently in sinus rhythm. Also for the treatment of documented life-threatening ventricular arrhythmias."
"Buspirone","approved/investigational","For the management of anxiety disorders or the short-term relief of the symptoms of anxiety, and also as an augmention of SSRI-treatment against depression."
"Miglitol","approved","For use as an adjunct to diet to improve glycemic control in patients with non-insulin-dependent diabetes mellitus (NIDDM) whose hyperglycemia cannot be managed with diet alone."
"Fosinopril","approved","For treating mild to moderate hypertension, use as an adjunct in treating congestive heart failure, and may be used to slow the rate of progression of renal disease in hypertensive individuals with diabetes mellitus and microalbuminuria or overt nephropathy. "
"Cefotaxime","approved","Used to treat gonorrhoea, meningitis, and severe infections including infections of the kidney (pyelonephritis) and urinary system. Also used before an operation to prevent infection after surgery."
"Entacapone","approved/investigational","Used as an adjunct to levodopa / carbidopa in the symptomatic treatment of patients with idiopathic Parkinson's Disease who experience the signs and symptoms of end-of-dose \"wearing-off\"."
"Zidovudine","approved","Used in combination with other antiretroviral agents for the treatment of human immunovirus (HIV) infections."
"Darifenacin","approved/investigational","For the treatment of overactive bladder with symptoms of urge urinary incontinence, urgency and frequency."
"Oxycodone","approved/illicit/investigational","For the treatment of diarrhoea, pulmonary oedema and for the relief of moderate to moderately severe pain."
"Phenindione","approved","For the treatment of pulmonary embolism, cardiomyopathy, atrial fibrillation and flutter, cerebral embolism, mural thrombosis, and thrombophili. Also used for anticoagulant prophylaxis."
"Flutamide","approved","For the management of locally confined Stage B2-C and Stage D2 metastatic carcinoma of the prostate"
"Tolmetin","approved","For the relief of signs and symptoms of rheumatoid arthritis and osteoarthritis, including the treatment of acute flares long-term management. Also for treatment of juvenile rheumatoid arthritis."
