Drug,Classes,Groups,Gene,Protein,Gene Type,Drug Action,DrugBank.ID
Roxithromycin,Macrolides,approvedwithdrawn,CYP3A4,Cytochrome P450 3A4,enzyme,substrateinhibitor,DB00778
Roxithromycin,Macrolides,approvedwithdrawn,CYP1A2,Cytochrome P450 1A2,enzyme,inhibitor,DB00778
Roxithromycin,Macrolides,approvedwithdrawn,CYP2B6,Cytochrome P450 2B6,enzyme,inhibitor,DB00778
Phenelzine,Antidepressive AgentsMonoamine Oxidase Inhibitors,approved,MAOA,Amine oxidase [flavin-containing] A,enzyme,substrate,DB00780
Phenelzine,Antidepressive AgentsMonoamine Oxidase Inhibitors,approved,CYP2E1,Cytochrome P450 2E1,enzyme,inducer,DB00780
Phenelzine,Antidepressive AgentsMonoamine Oxidase Inhibitors,approved,MAOB,Amine oxidase [flavin-containing] B,enzyme,substrate,DB00780
Phenelzine,Antidepressive AgentsMonoamine Oxidase Inhibitors,approved,CYP2C19,Cytochrome P450 2C19,enzyme,inhibitor,DB00780
Phenelzine,Antidepressive AgentsMonoamine Oxidase Inhibitors,approved,CYP2C8,Cytochrome P450 2C8,enzyme,inhibitor,DB00780
Phenelzine,Antidepressive AgentsMonoamine Oxidase Inhibitors,approved,CYP3A4,Cytochrome P450 3A4,enzyme,inhibitor,DB00780
Phenelzine,Antidepressive AgentsMonoamine Oxidase Inhibitors,approved,CYP3A43,Cytochrome P450 3A43,enzyme,inhibitor,DB00780
Phenelzine,Antidepressive AgentsMonoamine Oxidase Inhibitors,approved,CYP3A5,Cytochrome P450 3A5,enzyme,inhibitor,DB00780
Phenelzine,Antidepressive AgentsMonoamine Oxidase Inhibitors,approved,CYP3A7,Cytochrome P450 3A7,enzyme,inhibitor,DB00780
Estradiol,EstrogensContraceptive AgentsAnti-menopausal Agents,approvedinvestigational,CYP3A4,Cytochrome P450 3A4,enzyme,substrate,DB00783
Estradiol,EstrogensContraceptive AgentsAnti-menopausal Agents,approvedinvestigational,CYP1A2,Cytochrome P450 1A2,enzyme,substrate,DB00783
Estradiol,EstrogensContraceptive AgentsAnti-menopausal Agents,approvedinvestigational,CYP3A5,Cytochrome P450 3A5,enzyme,substrate,DB00783
Estradiol,EstrogensContraceptive AgentsAnti-menopausal Agents,approvedinvestigational,CYP3A7,Cytochrome P450 3A7,enzyme,substrate,DB00783
Estradiol,EstrogensContraceptive AgentsAnti-menopausal Agents,approvedinvestigational,UGT1A1,UDP-glucuronosyltransferase 1-1,enzyme,substrate,DB00783
Estradiol,EstrogensContraceptive AgentsAnti-menopausal Agents,approvedinvestigational,CYP1A1,Cytochrome P450 1A1,enzyme,substrate,DB00783
Estradiol,EstrogensContraceptive AgentsAnti-menopausal Agents,approvedinvestigational,CYP1B1,Cytochrome P450 1B1,enzyme,substrate,DB00783
Estradiol,EstrogensContraceptive AgentsAnti-menopausal Agents,approvedinvestigational,CYP2C19,Cytochrome P450 2C19,enzyme,substrate,DB00783
Estradiol,EstrogensContraceptive AgentsAnti-menopausal Agents,approvedinvestigational,CYP2C8,Cytochrome P450 2C8,enzyme,substrate,DB00783
Estradiol,EstrogensContraceptive AgentsAnti-menopausal Agents,approvedinvestigational,CYP2C9,Cytochrome P450 2C9,enzyme,substrate,DB00783
Mefenamic acid,"Anti-Inflammatory Agents, Non-SteroidalCyclooxygenase Inhibitors",approved,CYP2C9,Cytochrome P450 2C9,enzyme,substrateinhibitor,DB00784
Mefenamic acid,"Anti-Inflammatory Agents, Non-SteroidalCyclooxygenase Inhibitors",approved,CYP2C8,Cytochrome P450 2C8,enzyme,substrateinhibitor,DB00784
Naproxen,,approved,CYP2C9,Cytochrome P450 2C9,enzyme,substrate,DB00788
Naproxen,,approved,CYP1A2,Cytochrome P450 1A2,enzyme,substrate,DB00788
Naproxen,,approved,CYP2C8,Cytochrome P450 2C8,enzyme,substrate,DB00788
Naproxen,,approved,UGT1A1,UDP-glucuronosyltransferase 1-1,enzyme,substrate,DB00788
Naproxen,,approved,UGT2B7,UDP-glucuronosyltransferase 2B7,enzyme,substrate,DB00788
Primidone,AnticonvulsantsBarbiturates,approved,CYP2C19,Cytochrome P450 2C19,enzyme,substrateinducer,DB00794
Primidone,AnticonvulsantsBarbiturates,approved,CYP2C9,Cytochrome P450 2C9,enzyme,inducer,DB00794
Primidone,AnticonvulsantsBarbiturates,approved,CYP3A4,Cytochrome P450 3A4,enzyme,inducer,DB00794
Primidone,AnticonvulsantsBarbiturates,approved,CYP1A2,Cytochrome P450 1A2,enzyme,inducer,DB00794
Primidone,AnticonvulsantsBarbiturates,approved,CYP2B6,Cytochrome P450 2B6,enzyme,inducer,DB00794
Primidone,AnticonvulsantsBarbiturates,approved,CYP2C8,Cytochrome P450 2C8,enzyme,inducer,DB00794
Candesartan,Antihypertensive AgentsAngiotensin II Type 1 Receptor BlockersAngiotensin Receptor Antagonists,approved,CYP2C9,Cytochrome P450 2C9,enzyme,substrateinhibitor,DB00796
Candesartan,Antihypertensive AgentsAngiotensin II Type 1 Receptor BlockersAngiotensin Receptor Antagonists,approved,CYP2C8,Cytochrome P450 2C8,enzyme,inhibitor,DB00796
Candesartan,Antihypertensive AgentsAngiotensin II Type 1 Receptor BlockersAngiotensin Receptor Antagonists,approved,UGT1A3,UDP-glucuronosyltransferase 1-3,enzyme,substrate,DB00796
Candesartan,Antihypertensive AgentsAngiotensin II Type 1 Receptor BlockersAngiotensin Receptor Antagonists,approved,PTGS1,Prostaglandin G/H synthase 1,enzyme,substrate,DB00796
Alfentanil,"Anesthetics, IntravenousAnalgesics, OpioidNarcotics",approvedillicit,CYP3A4,Cytochrome P450 3A4,enzyme,substrate,DB00802
Alfentanil,"Anesthetics, IntravenousAnalgesics, OpioidNarcotics",approvedillicit,CYP3A7,Cytochrome P450 3A7,enzyme,substrate,DB00802
Alfentanil,"Anesthetics, IntravenousAnalgesics, OpioidNarcotics",approvedillicit,CYP3A5,Cytochrome P450 3A5,enzyme,substrate,DB00802
Phenylbutazone,"Anti-Inflammatory Agents, Non-Steroidal",approved,CYP2C9,Cytochrome P450 2C9,enzyme,substrateinhibitor,DB00812
Phenylbutazone,"Anti-Inflammatory Agents, Non-Steroidal",approved,CYP3A4,Cytochrome P450 3A4,enzyme,inducer,DB00812
Fentanyl,"Anesthetics, IntravenousAnalgesics, OpioidNarcoticsAdjuvants, AnesthesiaAdjuvants",approvedillicitinvestigational,CYP3A4,Cytochrome P450 3A4,enzyme,substrateinhibitor,DB00813
Fentanyl,"Anesthetics, IntravenousAnalgesics, OpioidNarcoticsAdjuvants, AnesthesiaAdjuvants",approvedillicitinvestigational,CYP3A5,Cytochrome P450 3A5,enzyme,substrate,DB00813
Fentanyl,"Anesthetics, IntravenousAnalgesics, OpioidNarcoticsAdjuvants, AnesthesiaAdjuvants",approvedillicitinvestigational,CYP3A7,Cytochrome P450 3A7,enzyme,substrate,DB00813
Meloxicam,"Anti-Inflammatory Agents, Non-SteroidalCyclooxygenase Inhibitors",approved,CYP2C9,Cytochrome P450 2C9,enzyme,substrateinhibitor,DB00814
Meloxicam,"Anti-Inflammatory Agents, Non-SteroidalCyclooxygenase Inhibitors",approved,CYP3A4,Cytochrome P450 3A4,enzyme,substrate,DB00814
Meloxicam,"Anti-Inflammatory Agents, Non-SteroidalCyclooxygenase Inhibitors",approved,PGD,"6-phosphogluconate dehydrogenase, decarboxylating",enzyme,inhibitor,DB00814
Meloxicam,"Anti-Inflammatory Agents, Non-SteroidalCyclooxygenase Inhibitors",approved,CYP2C8,Cytochrome P450 2C8,enzyme,substrateinhibitor,DB00814
Propofol,"Hypnotics and SedativesAnesthetics, Intravenous",approvedinvestigational,CYP2C9,Cytochrome P450 2C9,enzyme,substrateinhibitor,DB00818
Propofol,"Hypnotics and SedativesAnesthetics, Intravenous",approvedinvestigational,CYP2B6,Cytochrome P450 2B6,enzyme,substrate,DB00818
Propofol,"Hypnotics and SedativesAnesthetics, Intravenous",approvedinvestigational,UGT1A8,UDP-glucuronosyltransferase 1-8,enzyme,substrate,DB00818
Propofol,"Hypnotics and SedativesAnesthetics, Intravenous",approvedinvestigational,UGT1A9,UDP-glucuronosyltransferase 1-9,enzyme,substrate,DB00818
Propofol,"Hypnotics and SedativesAnesthetics, Intravenous",approvedinvestigational,UGT1A1,UDP-glucuronosyltransferase 1-1,enzyme,inhibitor,DB00818
Propofol,"Hypnotics and SedativesAnesthetics, Intravenous",approvedinvestigational,FAAH,Fatty-acid amide hydrolase 1,enzyme,substrate,DB00818
Propofol,"Hypnotics and SedativesAnesthetics, Intravenous",approvedinvestigational,CYP2E1,Cytochrome P450 2E1,enzyme,substrateinhibitor,DB00818
Propofol,"Hypnotics and SedativesAnesthetics, Intravenous",approvedinvestigational,CYP1B1,Cytochrome P450 1B1,enzyme,inhibitor,DB00818
Propofol,"Hypnotics and SedativesAnesthetics, Intravenous",approvedinvestigational,CYP1A1,Cytochrome P450 1A1,enzyme,inhibitor,DB00818
Propofol,"Hypnotics and SedativesAnesthetics, Intravenous",approvedinvestigational,CYP1A2,Cytochrome P450 1A2,enzyme,substrateinhibitor,DB00818
Propofol,"Hypnotics and SedativesAnesthetics, Intravenous",approvedinvestigational,CYP2A6,Cytochrome P450 2A6,enzyme,substrate,DB00818
Propofol,"Hypnotics and SedativesAnesthetics, Intravenous",approvedinvestigational,CYP2C18,Cytochrome P450 2C18,enzyme,substrate,DB00818
Propofol,"Hypnotics and SedativesAnesthetics, Intravenous",approvedinvestigational,CYP2C19,Cytochrome P450 2C19,enzyme,substrate,DB00818
Propofol,"Hypnotics and SedativesAnesthetics, Intravenous",approvedinvestigational,CYP2C8,Cytochrome P450 2C8,enzyme,substrate,DB00818
Propofol,"Hypnotics and SedativesAnesthetics, Intravenous",approvedinvestigational,CYP2D6,Cytochrome P450 2D6,enzyme,substrateinhibitor,DB00818
Propofol,"Hypnotics and SedativesAnesthetics, Intravenous",approvedinvestigational,CYP3A4,Cytochrome P450 3A4,enzyme,substrateinhibitor,DB00818
Propofol,"Hypnotics and SedativesAnesthetics, Intravenous",approvedinvestigational,,UDP-glucuronosyltransferase 1-6,enzyme,substrate,DB00818
Disulfiram,Enzyme InhibitorsAlcohol Deterrents,approved,CYP2E1,Cytochrome P450 2E1,enzyme,inhibitor,DB00822
Disulfiram,Enzyme InhibitorsAlcohol Deterrents,approved,CYP2C9,Cytochrome P450 2C9,enzyme,inhibitor,DB00822
Disulfiram,Enzyme InhibitorsAlcohol Deterrents,approved,CYP3A4,Cytochrome P450 3A4,enzyme,substrate,DB00822
Disulfiram,Enzyme InhibitorsAlcohol Deterrents,approved,CYP3A5,Cytochrome P450 3A5,enzyme,substrate,DB00822
Diazepam,"Anti-Anxiety AgentsHypnotics and SedativesAnticonvulsantsAnesthetics, IntravenousAdjuvants, AnesthesiaGABA ModulatorsMuscle Relaxants, CentralAntiemetics",approvedillicit,CYP3A4,Cytochrome P450 3A4,enzyme,substrateinhibitor,DB00829
Diazepam,"Anti-Anxiety AgentsHypnotics and SedativesAnticonvulsantsAnesthetics, IntravenousAdjuvants, AnesthesiaGABA ModulatorsMuscle Relaxants, CentralAntiemetics",approvedillicit,CYP3A5,Cytochrome P450 3A5,enzyme,substrate,DB00829
Diazepam,"Anti-Anxiety AgentsHypnotics and SedativesAnticonvulsantsAnesthetics, IntravenousAdjuvants, AnesthesiaGABA ModulatorsMuscle Relaxants, CentralAntiemetics",approvedillicit,CYP3A7,Cytochrome P450 3A7,enzyme,substrate,DB00829
Diazepam,"Anti-Anxiety AgentsHypnotics and SedativesAnticonvulsantsAnesthetics, IntravenousAdjuvants, AnesthesiaGABA ModulatorsMuscle Relaxants, CentralAntiemetics",approvedillicit,CYP2C19,Cytochrome P450 2C19,enzyme,substrateinhibitor,DB00829
Diazepam,"Anti-Anxiety AgentsHypnotics and SedativesAnticonvulsantsAnesthetics, IntravenousAdjuvants, AnesthesiaGABA ModulatorsMuscle Relaxants, CentralAntiemetics",approvedillicit,CYP2C9,Cytochrome P450 2C9,enzyme,substrateinhibitor,DB00829
Diazepam,"Anti-Anxiety AgentsHypnotics and SedativesAnticonvulsantsAnesthetics, IntravenousAdjuvants, AnesthesiaGABA ModulatorsMuscle Relaxants, CentralAntiemetics",approvedillicit,CYP2B6,Cytochrome P450 2B6,enzyme,substrate,DB00829
Diazepam,"Anti-Anxiety AgentsHypnotics and SedativesAnticonvulsantsAnesthetics, IntravenousAdjuvants, AnesthesiaGABA ModulatorsMuscle Relaxants, CentralAntiemetics",approvedillicit,CYP1A2,Cytochrome P450 1A2,enzyme,substrateinhibitor,DB00829
Diazepam,"Anti-Anxiety AgentsHypnotics and SedativesAnticonvulsantsAnesthetics, IntravenousAdjuvants, AnesthesiaGABA ModulatorsMuscle Relaxants, CentralAntiemetics",approvedillicit,CYP2C18,Cytochrome P450 2C18,enzyme,substrate,DB00829
Diazepam,"Anti-Anxiety AgentsHypnotics and SedativesAnticonvulsantsAnesthetics, IntravenousAdjuvants, AnesthesiaGABA ModulatorsMuscle Relaxants, CentralAntiemetics",approvedillicit,CYP2C8,Cytochrome P450 2C8,enzyme,substrate,DB00829
Diazepam,"Anti-Anxiety AgentsHypnotics and SedativesAnticonvulsantsAnesthetics, IntravenousAdjuvants, AnesthesiaGABA ModulatorsMuscle Relaxants, CentralAntiemetics",approvedillicit,PTGS1,Prostaglandin G/H synthase 1,enzyme,substrate,DB00829
Diazepam,"Anti-Anxiety AgentsHypnotics and SedativesAnticonvulsantsAnesthetics, IntravenousAdjuvants, AnesthesiaGABA ModulatorsMuscle Relaxants, CentralAntiemetics",approvedillicit,CYP2E1,Cytochrome P450 2E1,enzyme,inhibitor,DB00829
Trifluoperazine,Antipsychotic AgentsAntiemeticsDopamine AntagonistsPhenothiazines,approved,XDH,Xanthine dehydrogenase/oxidase,enzyme,conversion inhibitor,DB00831
Trifluoperazine,Antipsychotic AgentsAntiemeticsDopamine AntagonistsPhenothiazines,approved,UGT1A4,UDP-glucuronosyltransferase 1-4,enzyme,substrate,DB00831
Trifluoperazine,Antipsychotic AgentsAntiemeticsDopamine AntagonistsPhenothiazines,approved,CYP1A2,Cytochrome P450 1A2,enzyme,substrate,DB00831
Mifepristone,"Hormone AntagonistsContraceptives, Oral, SyntheticAbortifacient Agents, SteroidalContraceptives, Postcoital, SyntheticLuteolytic AgentsMenstruation-Inducing Agents",approvedinvestigational,CYP3A4,Cytochrome P450 3A4,enzyme,substrateinhibitorinducer,DB00834
Mifepristone,"Hormone AntagonistsContraceptives, Oral, SyntheticAbortifacient Agents, SteroidalContraceptives, Postcoital, SyntheticLuteolytic AgentsMenstruation-Inducing Agents",approvedinvestigational,CYP3A5,Cytochrome P450 3A5,enzyme,substrateinhibitor,DB00834
Mifepristone,"Hormone AntagonistsContraceptives, Oral, SyntheticAbortifacient Agents, SteroidalContraceptives, Postcoital, SyntheticLuteolytic AgentsMenstruation-Inducing Agents",approvedinvestigational,CYP3A7,Cytochrome P450 3A7,enzyme,inhibitor,DB00834
Mifepristone,"Hormone AntagonistsContraceptives, Oral, SyntheticAbortifacient Agents, SteroidalContraceptives, Postcoital, SyntheticLuteolytic AgentsMenstruation-Inducing Agents",approvedinvestigational,CYP2D6,Cytochrome P450 2D6,enzyme,inhibitor,DB00834
Brompheniramine,Anti-Allergic AgentsHistamine H1 Antagonists,approved,CYP2B6,Cytochrome P450 2B6,enzyme,substrate,DB00835
Brompheniramine,Anti-Allergic AgentsHistamine H1 Antagonists,approved,CYP2C19,Cytochrome P450 2C19,enzyme,substrate,DB00835
Brompheniramine,Anti-Allergic AgentsHistamine H1 Antagonists,approved,CYP2C8,Cytochrome P450 2C8,enzyme,substrate,DB00835
Brompheniramine,Anti-Allergic AgentsHistamine H1 Antagonists,approved,CYP2C9,Cytochrome P450 2C9,enzyme,substrate,DB00835
Brompheniramine,Anti-Allergic AgentsHistamine H1 Antagonists,approved,CYP2D6,Cytochrome P450 2D6,enzyme,substrateinhibitor,DB00835
Brompheniramine,Anti-Allergic AgentsHistamine H1 Antagonists,approved,CYP2E1,Cytochrome P450 2E1,enzyme,substrate,DB00835
Brompheniramine,Anti-Allergic AgentsHistamine H1 Antagonists,approved,CYP3A4,Cytochrome P450 3A4,enzyme,substrate,DB00835
Loperamide,Antidiarrheals,approved,CYP3A4,Cytochrome P450 3A4,enzyme,substrate,DB00836
Loperamide,Antidiarrheals,approved,CYP2C8,Cytochrome P450 2C8,enzyme,substrate,DB00836
Loperamide,Antidiarrheals,approved,CYP2B6,Cytochrome P450 2B6,enzyme,substrate,DB00836
Loperamide,Antidiarrheals,approved,CYP2D6,Cytochrome P450 2D6,enzyme,substrate,DB00836
Oxazepam,Anti-Anxiety AgentsHypnotics and SedativesGABA Modulators,approved,CYP3A4,Cytochrome P450 3A4,enzyme,substrate,DB00842
Oxazepam,Anti-Anxiety AgentsHypnotics and SedativesGABA Modulators,approved,CYP3A43,Cytochrome P450 3A43,enzyme,substrate,DB00842
Oxazepam,Anti-Anxiety AgentsHypnotics and SedativesGABA Modulators,approved,CYP3A5,Cytochrome P450 3A5,enzyme,substrate,DB00842
Oxazepam,Anti-Anxiety AgentsHypnotics and SedativesGABA Modulators,approved,CYP3A7,Cytochrome P450 3A7,enzyme,substrate,DB00842
Oxazepam,Anti-Anxiety AgentsHypnotics and SedativesGABA Modulators,approved,,UDP-glucuronosyltransferase 2B15,enzyme,substrate,DB00842
Oxazepam,Anti-Anxiety AgentsHypnotics and SedativesGABA Modulators,approved,UGT2B7,UDP-glucuronosyltransferase 2B7,enzyme,substrate,DB00842
Oxazepam,Anti-Anxiety AgentsHypnotics and SedativesGABA Modulators,approved,UGT1A9,UDP-glucuronosyltransferase 1-9,enzyme,substrate,DB00842
Donepezil,,approved,CYP2D6,Cytochrome P450 2D6,enzyme,substrate,DB00843
Donepezil,,approved,CYP3A4,Cytochrome P450 3A4,enzyme,substrate,DB00843
Donepezil,,approved,CYP2C9,Cytochrome P450 2C9,enzyme,substrate,DB00843
Methylphenobarbital,Hypnotics and SedativesAnticonvulsantsGABA Modulators,approved,CYP2C19,Cytochrome P450 2C19,enzyme,substrateinhibitor,DB00849
Methylphenobarbital,Hypnotics and SedativesAnticonvulsantsGABA Modulators,approved,CYP2B6,Cytochrome P450 2B6,enzyme,substrate,DB00849
Perphenazine,Antipsychotic AgentsDopamine AntagonistsPhenothiazines,approved,CYP2D6,Cytochrome P450 2D6,enzyme,substrateinhibitor,DB00850
Perphenazine,Antipsychotic AgentsDopamine AntagonistsPhenothiazines,approved,CYP1A2,Cytochrome P450 1A2,enzyme,substrateinhibitor,DB00850
Perphenazine,Antipsychotic AgentsDopamine AntagonistsPhenothiazines,approved,CYP2B6,Cytochrome P450 2B6,enzyme,substrate,DB00850
Perphenazine,Antipsychotic AgentsDopamine AntagonistsPhenothiazines,approved,CYP2C18,Cytochrome P450 2C18,enzyme,substrate,DB00850
Perphenazine,Antipsychotic AgentsDopamine AntagonistsPhenothiazines,approved,CYP2C19,Cytochrome P450 2C19,enzyme,substrate,DB00850
Perphenazine,Antipsychotic AgentsDopamine AntagonistsPhenothiazines,approved,CYP2C8,Cytochrome P450 2C8,enzyme,substrate,DB00850
Perphenazine,Antipsychotic AgentsDopamine AntagonistsPhenothiazines,approved,CYP2C9,Cytochrome P450 2C9,enzyme,substrate,DB00850
Perphenazine,Antipsychotic AgentsDopamine AntagonistsPhenothiazines,approved,CYP3A4,Cytochrome P450 3A4,enzyme,substrate,DB00850
Dacarbazine,"Antineoplastic Agents, Alkylating",approvedinvestigational,CYP1A1,Cytochrome P450 1A1,enzyme,substrate,DB00851
Dacarbazine,"Antineoplastic Agents, Alkylating",approvedinvestigational,CYP1A2,Cytochrome P450 1A2,enzyme,substrate,DB00851
Dacarbazine,"Antineoplastic Agents, Alkylating",approvedinvestigational,CYP2E1,Cytochrome P450 2E1,enzyme,substrate,DB00851
Pseudoephedrine,,approved,MAOA,Amine oxidase [flavin-containing] A,enzyme,inhibitor,DB00852
Pseudoephedrine,,approved,CYP2D6,Cytochrome P450 2D6,enzyme,substrate,DB00852
Chlorphenesin,"Muscle Relaxants, Central",approvedwithdrawn,CYP2B,CYP2B protein,enzyme,inducer,DB00856
Chlorphenesin,"Muscle Relaxants, Central",approvedwithdrawn,CYP19A1,Cytochrome P450 19A1,enzyme,inducer,DB00856
Chlorphenesin,"Muscle Relaxants, Central",approvedwithdrawn,CYP3A4,Cytochrome P450 3A4,enzyme,inducer,DB00856
Chlorphenesin,"Muscle Relaxants, Central",approvedwithdrawn,XDH,Xanthine dehydrogenase/oxidase,enzyme,inhibitor,DB00856
Chlorphenesin,"Muscle Relaxants, Central",approvedwithdrawn,PTGS2,Prostaglandin G/H synthase 2,enzyme,inhibitor,DB00856
Chlorphenesin,"Muscle Relaxants, Central",approvedwithdrawn,BCHE,Cholinesterase,enzyme,inducer,DB00856
Terbinafine,Antifungal Agents,approvedinvestigational,CYP2C9,Cytochrome P450 2C9,enzyme,substrate,DB00857
Terbinafine,Antifungal Agents,approvedinvestigational,CYP1A2,Cytochrome P450 1A2,enzyme,substrate,DB00857
Terbinafine,Antifungal Agents,approvedinvestigational,CYP3A4,Cytochrome P450 3A4,enzyme,substrateinducer,DB00857
Terbinafine,Antifungal Agents,approvedinvestigational,CYP2C8,Cytochrome P450 2C8,enzyme,substrate,DB00857
Terbinafine,Antifungal Agents,approvedinvestigational,CYP2C19,Cytochrome P450 2C19,enzyme,substrate,DB00857
Terbinafine,Antifungal Agents,approvedinvestigational,CYP2D6,Cytochrome P450 2D6,enzyme,inhibitor,DB00857
Terbinafine,Antifungal Agents,approvedinvestigational,PTGS1,Prostaglandin G/H synthase 1,enzyme,substrate,DB00857
Terbinafine,Antifungal Agents,approvedinvestigational,CYP11A1,"Cholesterol side-chain cleavage enzyme, mitochondrial",enzyme,inhibitor,DB00857
Terbinafine,Antifungal Agents,approvedinvestigational,CYP19A1,Cytochrome P450 19A1,enzyme,inhibitor,DB00857
Prednisolone,"Antineoplastic Agents, HormonalAnti-Inflammatory AgentsGlucocorticoids",approved,CYP3A4,Cytochrome P450 3A4,enzyme,substrateinhibitor,DB00860
Prednisolone,"Antineoplastic Agents, HormonalAnti-Inflammatory AgentsGlucocorticoids",approved,CYP2A6,Cytochrome P450 2A6,enzyme,inhibitor,DB00860
Vardenafil,Vasodilator AgentsPhosphodiesterase 5 InhibitorsAnti-Impotence Agents,approved,CYP3A4,Cytochrome P450 3A4,enzyme,substrate,DB00862
Vardenafil,Vasodilator AgentsPhosphodiesterase 5 InhibitorsAnti-Impotence Agents,approved,CYP3A5,Cytochrome P450 3A5,enzyme,substrate,DB00862
Ranitidine,Anti-Ulcer AgentsHistamine H2 Antagonists,approved,CYP1A2,Cytochrome P450 1A2,enzyme,substrateinhibitor,DB00863
Ranitidine,Anti-Ulcer AgentsHistamine H2 Antagonists,approved,CYP2C19,Cytochrome P450 2C19,enzyme,substrate,DB00863
Ranitidine,Anti-Ulcer AgentsHistamine H2 Antagonists,approved,CYP2D6,Cytochrome P450 2D6,enzyme,substrateinhibitor,DB00863
Ranitidine,Anti-Ulcer AgentsHistamine H2 Antagonists,approved,CYP3A4,Cytochrome P450 3A4,enzyme,inhibitor,DB00863
Ranitidine,Anti-Ulcer AgentsHistamine H2 Antagonists,approved,CYP3A5,Cytochrome P450 3A5,enzyme,inhibitor,DB00863
Tacrolimus,,approvedinvestigational,CYP3A7,Cytochrome P450 3A7,enzyme,substrate,DB00864
Tacrolimus,,approvedinvestigational,CYP3A5,Cytochrome P450 3A5,enzyme,substrate,DB00864
Tacrolimus,,approvedinvestigational,CYP3A4,Cytochrome P450 3A4,enzyme,substrateinhibitor,DB00864
Benzphetamine,Adrenergic AgentsAdrenergic Uptake InhibitorsCentral Nervous System StimulantsDopamine AgentsDopamine Uptake InhibitorsSympathomimetics,approvedillicit,CYP3A4,Cytochrome P450 3A4,enzyme,substrate,DB00865
Benzphetamine,Adrenergic AgentsAdrenergic Uptake InhibitorsCentral Nervous System StimulantsDopamine AgentsDopamine Uptake InhibitorsSympathomimetics,approvedillicit,CYP2B6,Cytochrome P450 2B6,enzyme,substrate,DB00865
Benzphetamine,Adrenergic AgentsAdrenergic Uptake InhibitorsCentral Nervous System StimulantsDopamine AgentsDopamine Uptake InhibitorsSympathomimetics,approvedillicit,POR,NADPH--cytochrome P450 reductase,enzyme,substrate,DB00865
Dorzolamide,,approved,CYP2C9,Cytochrome P450 2C9,enzyme,substrate,DB00869
Dorzolamide,,approved,CYP3A4,Cytochrome P450 3A4,enzyme,substrate,DB00869
Suprofen,"Anti-Inflammatory Agents, Non-SteroidalCyclooxygenase Inhibitors",approvedwithdrawn,CYP2C9,Cytochrome P450 2C9,enzyme,substrateinhibitor,DB00870
Suprofen,"Anti-Inflammatory Agents, Non-SteroidalCyclooxygenase Inhibitors",approvedwithdrawn,UGT1A1,UDP-glucuronosyltransferase 1-1,enzyme,substrate,DB00870
Suprofen,"Anti-Inflammatory Agents, Non-SteroidalCyclooxygenase Inhibitors",approvedwithdrawn,UGT2B7,UDP-glucuronosyltransferase 2B7,enzyme,substrate,DB00870
Sirolimus,"Immunosuppressive AgentsAntifungal AgentsAnti-Bacterial AgentsAntibiotics, AntineoplasticMacrolides",approvedinvestigational,CYP3A4,Cytochrome P450 3A4,enzyme,substrateinhibitor,DB00877
Sirolimus,"Immunosuppressive AgentsAntifungal AgentsAnti-Bacterial AgentsAntibiotics, AntineoplasticMacrolides",approvedinvestigational,CYP3A5,Cytochrome P450 3A5,enzyme,substrate,DB00877
Sirolimus,"Immunosuppressive AgentsAntifungal AgentsAnti-Bacterial AgentsAntibiotics, AntineoplasticMacrolides",approvedinvestigational,CYP3A7,Cytochrome P450 3A7,enzyme,substrate,DB00877
Chlorhexidine,"Anti-Infective AgentsAnti-Infective Agents, LocalDisinfectantsMouthwashes",approved,HNMT,Histamine N-methyltransferase,enzyme,inhibitor,DB00878
Chlorhexidine,"Anti-Infective AgentsAnti-Infective Agents, LocalDisinfectantsMouthwashes",approved,cat,Chloramphenicol acetyltransferase,enzyme,inhibitor,DB00878
Clomifene,"Fertility Agents, FemaleEstrogen AntagonistsSelective Estrogen Receptor Modulators",approvedinvestigational,CYP11A1,"Cholesterol side-chain cleavage enzyme, mitochondrial",enzyme,inhibitor,DB00882
Clomifene,"Fertility Agents, FemaleEstrogen AntagonistsSelective Estrogen Receptor Modulators",approvedinvestigational,CYP19A1,Cytochrome P450 19A1,enzyme,inhibitor,DB00882
Clomifene,"Fertility Agents, FemaleEstrogen AntagonistsSelective Estrogen Receptor Modulators",approvedinvestigational,CYP1A1,Cytochrome P450 1A1,enzyme,inducer,DB00882
Clomifene,"Fertility Agents, FemaleEstrogen AntagonistsSelective Estrogen Receptor Modulators",approvedinvestigational,CYP1A2,Cytochrome P450 1A2,enzyme,inhibitor,DB00882
Clomifene,"Fertility Agents, FemaleEstrogen AntagonistsSelective Estrogen Receptor Modulators",approvedinvestigational,CYP2A6,Cytochrome P450 2A6,enzyme,inhibitor,DB00882
Clomifene,"Fertility Agents, FemaleEstrogen AntagonistsSelective Estrogen Receptor Modulators",approvedinvestigational,CYP2E1,Cytochrome P450 2E1,enzyme,inhibitor,DB00882
Clomifene,"Fertility Agents, FemaleEstrogen AntagonistsSelective Estrogen Receptor Modulators",approvedinvestigational,CYP3A4,Cytochrome P450 3A4,enzyme,inhibitor,DB00882
Isosorbide Dinitrate,Vasodilator AgentsNitric Oxide Donors,approved,CYP3A4,Cytochrome P450 3A4,enzyme,substrate,DB00883
Isosorbide Dinitrate,Vasodilator AgentsNitric Oxide Donors,approved,CYP2E1,Cytochrome P450 2E1,enzyme,inhibitor,DB00883
